datetime,atp,wtp
10-01-2012 0000,27,28.1
10-01-2012 0100,26.5,28
10-01-2012 0200,26.5,27.9
10-01-2012 0300,25.8,27.7
10-01-2012 0400,25.1,27.5
10-01-2012 0500,24.5,27.3
10-01-2012 0600,24.2,27.1
10-01-2012 0700,23.3,26.9
10-01-2012 0800,22.8,26.7
10-01-2012 0900,21.8,26.4
10-01-2012 1000,21.8,26.1
10-01-2012 1100,21.8,25.8
10-01-2012 1200,21.2,25.4
10-01-2012 1300,21.2,25.1
10-01-2012 1400,21.1,24.7
10-01-2012 1500,21.5,24.5
10-01-2012 1600,22.1,24.4
10-01-2012 1700,23.1,24.4
10-01-2012 1800,24.3,24.6
10-01-2012 1900,25.6,25
10-01-2012 2000,26.6,25.7
10-01-2012 2100,25.5,26.2
10-01-2012 2200,26.2,26.7
10-01-2012 2300,25.7,27.1
10-02-2012 0000,22.9,27.3
10-02-2012 0100,23.3,27.4
10-02-2012 0200,22.6,27.3
10-02-2012 0300,22.3,27.2
10-02-2012 0400,21.7,27.1
10-02-2012 0500,21.4,26.9
10-02-2012 0600,21.2,26.6
10-02-2012 0700,21,26.4
10-02-2012 0800,20.8,26.1
10-02-2012 0900,20.6,25.9
10-02-2012 1000,20.2,25.6
10-02-2012 1100,20.1,25.3
10-02-2012 1200,19.7,25.1
10-02-2012 1300,20,24.8
10-02-2012 1400,21.2,24.6
10-02-2012 1500,22.9,24.4
10-02-2012 1600,23.3,24.4
10-02-2012 1700,24.8,24.6
10-02-2012 1800,24.6,24.9
10-02-2012 1900,25.4,25.4
10-02-2012 2000,25.7,25.9
10-02-2012 2100,26.6,26.4
10-02-2012 2200,27.8,26.8
10-02-2012 2300,27.3,27.1
10-03-2012 0000,27.2,27.2
10-03-2012 0100,26.3,27.2
10-03-2012 0200,25.9,27.1
10-03-2012 0300,24.9,26.9
10-03-2012 0400,24.2,26.6
10-03-2012 0500,24,26.4
10-03-2012 0600,23.9,26.2
10-03-2012 0700,23.7,26.1
10-03-2012 0800,23.4,25.9
10-03-2012 0900,23.1,25.8
10-03-2012 1000,23.9,25.6
10-03-2012 1100,21.6,25.5
10-03-2012 1200,21,25.4
10-03-2012 1300,20.9,25.3
10-03-2012 1400,22.7,25.2
10-03-2012 1500,24.1,25.1
10-03-2012 1600,27.4,25.2
